Player-additional,Player,FG%
griffbl01,Blake Griffin,0.509
bostobr01,Brandon Boston Jr.,0.421
johnske07,Keon Johnson,0.359
gibsota01,Taj Gibson,0.528
greenaj01,A.J. Green,0.44
washity02,TyTy Washington Jr.,0.355
matthwe02,Wesley Matthews,0.344
netora01,Raul Neto,0.522
fernabr01,Bruno Fernando,0.521
knighna01,Nathan Knight,0.573
schofad01,Admiral Schofield,0.484
chrisma02,Max Christie,0.419
rubiori01,Ricky Rubio,0.352
mcgowbr01,Bryce McGowens,0.359
weslebl01,Blake Wesley,0.351
hernaju01,Juancho Hernangómez,0.421
ryanma01,Matt Ryan,0.374
walkeja01,Jabari Walker,0.438
bantoda01,Dalano Banton,0.411
mclaujo01,Jordan McLaughlin,0.412
leesa01,Saben Lee,0.42
baldwpa01,Patrick Baldwin Jr.,0.404
robinor01,Orlando Robinson,0.535
bouknja01,James Bouknight,0.328
holmeri01,Richaun Holmes,0.681
morrima02,Markieff Morris,0.416
dunnkr01,Kris Dunn,0.531
lewiski01,Kira Lewis Jr.,0.446
okekech01,Chuma Okeke,0.366
korkmfu01,Furkan Korkmaz,0.422
mamuksa01,Sandro Mamukelashvili,0.351
joneska01,Kai Jones,0.539
bitadgo01,Goga Bitadze,0.541
laravja01,Jake LaRavia,0.393
toscaju01,Juan Toscano-Anderson,0.471
harrike01,Kevon Harris,0.416
ntilila01,Frank Ntilikina,0.34
lopezro01,Robin Lopez,0.65
smithis01,Ish Smith,0.436
forbebr01,Bryn Forbes,0.361
jonesda03,Damian Jones,0.611
reedda01,Davon Reed,0.325
jovicni01,Nikola Jović,0.406
wrighmc01,McKinley Wright IV,0.471
kaminfr01,Frank Kaminsky,0.491
marjabo01,Boban Marjanović,0.689
taylote01,Terry Taylor,0.478
walkeke02,Kemba Walker,0.421
dienggo01,Gorgui Dieng,0.375
cainja01,Jamal Cain,0.52
chandke01,Kennedy Chandler,0.414
crowdja01,Jae Crowder,0.478
ibakase01,Serge Ibaka,0.481
pinsoth01,Theo Pinson,0.328
dukeda01,David Duke Jr.,0.459
paytoga02,Gary Payton II,0.585
mykhasv01,Svi Mykhailiuk,0.455
isaacjo01,Jonathan Isaac,0.415
barlodo01,Dominick Barlow,0.55
diabamo01,Moussa Diabaté,0.525
azubuud01,Udoka Azubuike,0.828
forretr01,Trent Forrest,0.48
terryda01,Dalen Terry,0.463
theisda01,Daniel Theis,0.477
zelleco01,Cody Zeller,0.517
okpalkz01,KZ Okpala,0.421
culveja01,Jarrett Culver,0.395
dowtije01,Jeff Dowtin,0.442
edwarke02,Kessler Edwards,0.32
porteot01,Otto Porter Jr.,0.5
birchkh01,Khem Birch,0.594
smithdr01,Dru Smith,0.462
templga01,Garrett Temple,0.366
prestja01,Jason Preston,0.439
minotjo01,Josh Minott,0.516
moorewe01,Wendell Moore Jr.,0.41
dellama01,Matthew Dellavedova,0.317
johnsja01,James Johnson,0.4
martico01,Cody Martin,0.389
noelne01,Nerlens Noel,0.361
lawsoaj01,A.J. Lawson,0.5
loftoke01,Kenneth Lofton Jr.,0.452
browngr01,Greg Brown III,0.393
diakima01,Mamadi Diakite,0.429
halljo02,Jordan Hall,0.321
krejcvi01,Vit Krejci,0.379
primojo01,Joshua Primo,0.346
davisjo06,Johnny Davis,0.379
juzanjo01,Johnny Juzang,0.313
greenda02,Danny Green,0.381
vonleno01,Noah Vonleh,0.458
leoname01,Meyers Leonard,0.571
rolliry01,Ryan Rollins,0.35
watsope01,Peyton Watson,0.526
queentr01,Trevelin Queen,0.241
jacksju01,Justin Jackson,0.259
bradlto01,Tony Bradley,0.5
elliske01,Keon Ellis,0.6
whiteja03,Jack White,0.438
arcidry01,Ryan Arcidiacono,0.353
iguodan01,Andre Iguodala,0.467
sprinja01,Jaden Springer,0.538
antetth01,Thanasis Antetokounmpo,0.273
champju02,Julian Champagnie,0.462
bouyeja01,Jamaree Bouyea,0.429
daysda01,Darius Days,0.417
martity01,Tyrese Martin,0.375
rhodeja01,Jared Rhoden,0.429
boehebu01,Buddy Boeheim,0.235
pippesc02,Scotty Pippen Jr.,0.333
lenal01,Alex Len,0.455
quetane01,Neemias Queta,0.75
mobleis01,Isaiah Mobley,0.5
campafa01,Facundo Campazzo,0.231
harpero02,Ron Harper Jr.,0.571
willivi01,Vince Williams Jr.,0.286
brownke03,Kendall Brown,0.571
dorsety01,Tyler Dorsey,0.8
hudgitr01,Trevor Hudgins,0.222
swideco01,Cole Swider,0.333
wieskjo01,Joe Wieskamp,0.375
johnsal02,Alize Johnson,0.5
sarrol01,Olivier Sarr,0.429
yurtsom01,Omer Yurtseven,0.5
bolmale01,Leandro Bolmaro,0.15
careyve01,Vernon Carey Jr.,0.25
champju01,Justin Champagnie,1
davisjd01,JD Davison,0.273
butleja02,Jared Butler,0.5
doziepj01,PJ Dozier,0.333
hillma01,Malcolm Hill,0.5
jacksqu01,Quenton Jackson,0.667
keybr01,Braxton Key,1
pottemi01,Micah Potter,1
seabrde01,Dereon Seabron,0.4
dotsode01,Devon Dotson,0.1
hasleud01,Udonis Haslem,0.083
jonesca03,Carlik Jones,0.2
keelstr01,Trevor Keels,0.333
schakjo01,Jordan Schakel,0.5
butlejo01,John Butler,0.2
kabenmf01,Mfiondu Kabengele,0.5
merrisa01,Sam Merrill,0.333
monekch01,Chima Moneke,0.5
silvach01,Chris Silva,1
toddis01,Isaiah Todd,0.25
umudest01,Stanley Umude,0
wiggili01,Lindell Wigginton,0.333
windldy01,Dylan Windler,0.5
brownst02,Sterling Brown,0
burtode02,Deonte Burton,0
fostemi02,Michael Foster Jr.,
huffja01,Jay Huff,
jacksfr01,Frank Jackson,0
simonma01,Marko Simonovic,0
willial06,Alondes Williams,
